taxon_group,verbatim_name,name,comment,taxon_name_above_genus,genus_modifier,genus_name,subgenera_modifier,subgenera_name,species_modifier,species_name,subspecies_modifier,subspecies_name,non_taxa_descriptor,comments,pbdb_taxon_id,pbdb_taxon_rank,pbdb_taxon_name
planktic_forams,Globigerina druryi,Globigerina druryi,,,,Globigerina,,,,druryi,,,,,422323,species,Globigerina druryi
planktic_forams,Globigerina eamesi,Globigerina eamesi,,,,Globigerina,,,,eamesi,,,,,1498,genus,Globigerina
planktic_forams,Globigerina euapertura,Globigerina euapertura,,,,Globigerina,,,,euapertura,,,,,82217,species,Globigerina euapertura
planktic_forams,Globigerina falconensis,Globigerina falconensis,,,,Globigerina,,,,falconensis,,,,,388387,species,Globigerina falconensis
planktic_forams,Globigerina glutinata,Globigerina glutinata,,,,Globigerina,,,,glutinata,,,,,82225,species,Globigerina glutinata
planktic_forams,Globigerina gnaucki,Globigerina gnaucki,,,,Globigerina,,,,gnaucki,,,,,1498,genus,Globigerina
planktic_forams,Globigerina gortanii,Globigerina gortanii,,,,Globigerina,,,,gortanii,,,,,1498,genus,Globigerina
planktic_forams,Globigerina labiacrassata,Globigerina labiacrassata,,,,Globigerina,,,,labiacrassata,,,,,1498,genus,Globigerina
planktic_forams,Globigerina linaperta,Globigerina linaperta,,,,Globigerina,,,,linaperta,,,,,1498,genus,Globigerina
planktic_forams,Globigerina nepenthes,Globigerina nepenthes,,,,Globigerina,,,,nepenthes,,,,,422342,species,Globigerina nepenthes
planktic_forams; planktic_forams,Globigerina officianilis; Globigerina officinalis,Globigerina officinalis,species misspelled,,,Globigerina,,,,officinalis,,,,,1498,genus,Globigerina
planktic_forams; planktic_forams,Globigerina ouachitaensis; Globigerina ouachitensis,Globigerina ouachitaensis,,,,Globigerina,,,,ouachitaensis,,,,,355105,species,Globigerina ouachitaensis
planktic_forams,Globigerina praebulloides,Globigerina praebulloides,,,,Globigerina,,,,praebulloides,,,,,82218,species,Globigerina praebulloides
planktic_forams,Globigerina prasepis,Globigerina prasepis,,,,Globigerina,,,,prasepis,,,,,1498,genus,Globigerina
planktic_forams,Globigerina pseudodruryi,Globigerina pseudodruryi,,,,Globigerina,,,,pseudodruryi,,,,,1498,genus,Globigerina
planktic_forams,Globigerina quinqueloba,Globigerina quinqueloba,,,,Globigerina,,,,quinqueloba,,,,,422371,species,Globigerina quinqueloba
planktic_forams,Globigerina rubescens,Globigerina rubescens,,,,Globigerina,,,,rubescens,,,,,422320,species,Globigerina rubescens
planktic_forams,Globigerina rubescens (pink),Globigerina rubescens (pink),,,,Globigerina,,,,rubescens,,,pink,,422320,species,Globigerina rubescens
planktic_forams,Globigerina rubescens (white),Globigerina rubescens (white),,,,Globigerina,,,,rubescens,,,white,,422320,species,Globigerina rubescens
planktic_forams,Globigerina sellii,Globigerina sellii,,,,Globigerina,,,,sellii,,,,,1498,genus,Globigerina
planktic_forams,Globigerina senni,Globigerina senni,,,,Globigerina,,,,senni,,,,,1498,genus,Globigerina
planktic_forams,Globigerina sp.,Globigerina sp.,,,,Globigerina,,,,sp.,,,,,1498,genus,Globigerina
planktic_forams,Globigerina spp.,Globigerina spp.,,,,Globigerina,,,,spp.,,,,,1498,genus,Globigerina
planktic_forams,Globigerina tripartita,Globigerina tripartita,,,,Globigerina,,,,tripartita,,,,,1498,genus,Globigerina
planktic_forams,Globigerina umbilicata,Globigerina umbilicata,,,,Globigerina,,,,umbilicata,,,,,422298,species,Globigerina umbilicata
planktic_forams,Globigerina venezulana,Globigerina venezulana,,,,Globigerina,,,,venezulana,,,,,1498,genus,Globigerina
planktic_forams,Globigerina winkleri,Globigerina winkleri,,,,Globigerina,,,,winkleri,,,,,1498,genus,Globigerina
planktic_forams,Globigerina woodi,Globigerina woodi,,,,Globigerina,,,,woodi,,,,,82220,species,Globigerina woodi
planktic_forams; planktic_forams,Globgerinatella insueta _B and T_; Globigerinatella insueta,Globigerinatella insueta,,,,Globigerinatella,,,,insueta,,,,,82223,species,Globigerinatella insueta
planktic_forams; planktic_forams,Globigerinatella sp.; Globigerinatella sp. _B_ M3_,Globigerinatella sp.,,,,Globigerinatella,,,,sp.,,,,,1499,genus,Globigerinatella
planktic_forams,Globigerinatheka barri,Globigerinatheka barri,,,,Globigerinatheka,,,,barri,,,,,1500,genus,Globigerinatheka
planktic_forams,Globigerinatheka index,Globigerinatheka index,,,,Globigerinatheka,,,,index,,,,,1500,genus,Globigerinatheka
planktic_forams,Globigerinatheka korotkovi,Globigerinatheka korotkovi,,,,Globigerinatheka,,,,korotkovi,,,,,1500,genus,Globigerinatheka
planktic_forams,Globigerinatheka kugleri,Globigerinatheka kugleri,,,,Globigerinatheka,,,,kugleri,,,,,1500,genus,Globigerinatheka
planktic_forams,Globigerinatheka luterbacheri,Globigerinatheka luterbacheri,,,,Globigerinatheka,,,,luterbacheri,,,,,1500,genus,Globigerinatheka
planktic_forams,Globigerinatheka mexicana,Globigerinatheka mexicana,,,,Globigerinatheka,,,,mexicana,,,,,1500,genus,Globigerinatheka
planktic_forams,Globigerinatheka semiinvoluta,Globigerinatheka semiinvoluta,,,,Globigerinatheka,,,,semiinvoluta,,,,,1500,genus,Globigerinatheka
planktic_forams,Globigerinatheka sp.,Globigerinatheka sp.,,,,Globigerinatheka,,,,sp.,,,,,1500,genus,Globigerinatheka
planktic_forams,Globigerinatheka subconglobata,Globigerinatheka subconglobata,,,,Globigerinatheka,,,,subconglobata,,,,,1500,genus,Globigerinatheka
planktic_forams,Globigerinatheka tropicalis,Globigerinatheka tropicalis,,,,Globigerinatheka,,,,tropicalis,,,,,1500,genus,Globigerinatheka
planktic_forams,Globigerinella aequilateralis,Globigerinella aequilateralis,,,,Globigerinella,,,,aequilateralis,,,,,422300,species,Globigerinella aequilateralis
planktic_forams; planktic_forams; planktic_forams,Globigerinella calida; Globigerinella calida _B; Globigerinella calida _B_,Globigerinella calida,,,,Globigerinella,,,,calida,,,,,422302,species,Globigerinella calida
planktic_forams,Globigerinella obesa,Globigerinella obesa,,,,Globigerinella,,,,obesa,,,,,398746,species,Globigerinella obesa
planktic_forams,Globigerinella praesiphonifera,Globigerinella praesiphonifera,,,,Globigerinella,,,,praesiphonifera,,,,,388415,species,Globigerinella praesiphonifera
planktic_forams,Globigerinella radians,Globigerinella radians,,,,Globigerinella,,,,radians,,,,,1501,genus,Globigerinella
planktic_forams; planktic_forams,Globigerinella siphonifera; Globigerinella siphonifera (aequilateralis),Globigerinella siphonifera,,,,Globigerinella,,,,siphonifera,,,,,422304,species,Globigerinella siphonifera
planktic_forams,Globigerinella sp.,Globigerinella sp.,,,,Globigerinella,,,,sp.,,,,,1501,genus,Globigerinella
planktic_forams,Globigerinella spp.,Globigerinella spp.,,,,Globigerinella,,,,spp.,,,,,1501,genus,Globigerinella
planktic_forams,Globigerinelloides aptiensis,Globigerinelloides aptiensis,,,,Globigerinelloides,,,,aptiensis,,,,,1502,genus,Globigerinelloides
planktic_forams,Globigerinelloides asper,Globigerinelloides asper,,,,Globigerinelloides,,,,asper,,,,,1502,genus,Globigerinelloides
planktic_forams,Globigerinelloides bentonensis,Globigerinelloides bentonensis,,,,Globigerinelloides,,,,bentonensis,,,,,1502,genus,Globigerinelloides
planktic_forams,Globigerinelloides bollii,Globigerinelloides bollii,,,,Globigerinelloides,,,,bollii,,,,,1502,genus,Globigerinelloides
planktic_forams,Globigerinelloides blowi (cf.),Globigerinelloides cf. blowi,,,,Globigerinelloides,,,cf.,blowi,,,,,1502,genus,Globigerinelloides
planktic_forams,Globigerinelloides ehrenbergi,Globigerinelloides ehrenbergi,,,,Globigerinelloides,,,,ehrenbergi,,,,,1502,genus,Globigerinelloides
planktic_forams,Globigerinelloides impensus,Globigerinelloides impensus,,,,Globigerinelloides,,,,impensus,,,,,1502,genus,Globigerinelloides
planktic_forams,Globigerinelloides maridalensis,Globigerinelloides maridalensis,,,,Globigerinelloides,,,,maridalensis,,,,,1502,genus,Globigerinelloides
planktic_forams,Globigerinelloides paragottisi,Globigerinelloides paragottisi,,,,Globigerinelloides,,,,paragottisi,,,,,1502,genus,Globigerinelloides
planktic_forams,Globigerinelloides praevolutus,Globigerinelloides praevolutus,,,,Globigerinelloides,,,,praevolutus,,,,,1502,genus,Globigerinelloides
planktic_forams,Globigerinelloides prairiehillensis,Globigerinelloides prairiehillensis,,,,Globigerinelloides,,,,prairiehillensis,,,,,1502,genus,Globigerinelloides
planktic_forams,Globigerinelloides sp.,Globigerinelloides sp.,,,,Globigerinelloides,,,,sp.,,,,,1502,genus,Globigerinelloides
planktic_forams,Globigerinelloides ultramicrus,Globigerinelloides ultramicrus,,,,Globigerinelloides,,,,ultramicrus,,,,,1502,genus,Globigerinelloides
planktic_forams,Globigerinita boweni,Globigerinita boweni,,,,Globigerinita,,,,boweni,,,,,1503,genus,Globigerinita
planktic_forams,Globigerinita glutinata,Globigerinita glutinata,,,,Globigerinita,,,,glutinata,,,,,422375,species,Globigerinita glutinata
planktic_forams,Globigerinita iota,Globigerinita iota,,,,Globigerinita,,,,iota,,,,,422383,species,Globigerinita iota
planktic_forams,Globigerinita parkerae,Globigerinita parkerae,,,,Globigerinita,,,,parkerae,,,,,1503,genus,Globigerinita
planktic_forams,Globigerinita uvula,Globigerinita uvula,,,,Globigerinita,,,,uvula,,,,,422378,species,Globigerinita uvula
planktic_forams,Globigerinoides altiapertura,Globigerinoides altiapertura,,,,Globigerinoides,,,,altiapertura,,,,,1504,genus,Globigerinoides
planktic_forams; planktic_forams; planktic_forams,Globigerinoides altiaperturus; Globigerinoides altiaperturus _B; Globigerinoides altiaperturus _B_,Globigerinoides altiaperturus,,,,Globigerinoides,,,,altiaperturus,,,,,82227,species,Globigerinoides altiaperturus
planktic_forams,Globigerinoides bisphericus,Globigerinoides bisphericus,,,,Globigerinoides,,,,bisphericus,,,,,388411,species,Globigerinoides bisphericus
planktic_forams; planktic_forams,Globigerinoides bolli; Globigerinoides bollii,Globigerinoides bollii,,,,Globigerinoides,,,,bollii,,,,,422307,species,Globigerinoides bollii
planktic_forams,Globigerinoides bulloideus,Globigerinoides bulloideus,,,,Globigerinoides,,,,bulloideus,,,,,422308,species,Globigerinoides bulloideus
planktic_forams,Globigerinoides sp. cf. ruber _white_,Globigerinoides cf. ruber (white),,,,Globigerinoides,,,cf.,ruber,,,white,,388393,species,Globigerinoides ruber
planktic_forams; planktic_forams; planktic_forams,Globigerinoides conglobatus; Globigerinoides conglobatus _B; Globigerinoides conglobatus _B_,Globigerinoides conglobatus,,,,Globigerinoides,,,,conglobatus,,,,,388409,species,Globigerinoides conglobatus
planktic_forams,Globigerinoides conglobatus _pink_,Globigerinoides conglobatus (pink),,,,Globigerinoides,,,,conglobatus,,,pink,,388409,species,Globigerinoides conglobatus
planktic_forams,Globigerinoides diminutus,Globigerinoides diminutus,,,,Globigerinoides,,,,diminutus,,,,,1504,genus,Globigerinoides
planktic_forams,Globigerinoides elongatus,Globigerinoides elongatus,,,,Globigerinoides,,,,elongatus,,,,,388400,species,Globigerinoides elongatus
planktic_forams; planktic_forams; planktic_forams,Globigerinoides extremus; Globigerinoides extremus _T and B; Globigerinoides extremus _T and B_,Globigerinoides extremus,,,,Globigerinoides,,,,extremus,,,,,388397,species,Globigerinoides extremus
planktic_forams,Globigerinoides fistulosus,Globigerinoides fistulosus,,,,Globigerinoides,,,,fistulosus,,,,,1504,genus,Globigerinoides
planktic_forams,Globigerinoides immaturus,Globigerinoides immaturus,,,,Globigerinoides,,,,immaturus,,,,,1504,genus,Globigerinoides
planktic_forams,Globigerinoides kennetti,Globigerinoides kennetti,,,,Globigerinoides,,,,kennetti,,,,,1504,genus,Globigerinoides
planktic_forams,Globigerinoides mitra,Globigerinoides mitra,,,,Globigerinoides,,,,mitra,,,,,422310,species,Globigerinoides mitra
planktic_forams; planktic_forams; planktic_forams,Globigerinoides obliquus; Globigerinoides obliquus _T; Globigerinoides obliquus _T_,Globigerinoides obliquus,,,,Globigerinoides,,,,obliquus,,,,,388395,species,Globigerinoides obliquus
planktic_forams,Globigerinoides obliquus (regular),Globigerinoides obliquus (regular),,,,Globigerinoides,,,,obliquus,,,regular,,388395,species,Globigerinoides obliquus
planktic_forams,Globigerinoides parawoodi,Globigerinoides parawoodi,,,,Globigerinoides,,,,parawoodi,,,,,1504,genus,Globigerinoides
planktic_forams,Globigerinoides praeprimordius,Globigerinoides praeprimordius,,,,Globigerinoides,,,,praeprimordius,,,,,1504,genus,Globigerinoides
planktic_forams,Globigerinoides primordius,Globigerinoides primordius,,,,Globigerinoides,,,,primordius,,,,,1504,genus,Globigerinoides
planktic_forams,Globigerinoides pyramidalis,Globigerinoides pyramidalis,,,,Globigerinoides,,,,pyramidalis,,,,,1504,genus,Globigerinoides
planktic_forams,Globigerinoides quadrilobatus,Globigerinoides quadrilobatus,,,,Globigerinoides,,,,quadrilobatus,,,,,1504,genus,Globigerinoides
planktic_forams,Globigerinoides ruber,Globigerinoides ruber,,,,Globigerinoides,,,,ruber,,,,,388393,species,Globigerinoides ruber
planktic_forams; planktic_forams; planktic_forams,Globigerinoides ruber (pink); Globigerinoides ruber _pink_ T; Globigerinoides ruber _pink_ _T_,Globigerinoides ruber (pink),,,,Globigerinoides,,,,ruber,,,pink,,388393,species,Globigerinoides ruber
benthic_forams; planktic_forams,Globigerinoides ruber (white); Globigerinoides ruber (white),Globigerinoides ruber (white),,,,Globigerinoides,,,,ruber,,,white,,388393,species,Globigerinoides ruber
planktic_forams,Globigerinoides ruber (pyramidalis),Globigerinoides ruber pyramidalis,,,,Globigerinoides,,,,ruber,,pyramidalis,,,388393,species,Globigerinoides ruber
planktic_forams,Globigerinoides rubescens,Globigerinoides rubescens,,,,Globigerinoides,,,,rubescens,,,,,1504,genus,Globigerinoides
planktic_forams,"Globigerinoides ruber s.l. Wang, 2000",Globigerinoides s.l. ruber,,,,Globigerinoides,,,s.l.,ruber,,,,"Globigerinoides ruber s.l. Wang, 2000",388393,species,Globigerinoides ruber
planktic_forams,Globigerinoides trilobus sensu lato,Globigerinoides s.l. trilobus,,,,Globigerinoides,,,s.l.,trilobus,,,,,82229,species,Globigerinoides trilobus
planktic_forams,Globigerinoides ruber s.s.,Globigerinoides s.s. ruber,,,,Globigerinoides,,,s.s.,ruber,,,,,388393,species,Globigerinoides ruber
planktic_forams,Globigerinoides sacculifer,Globigerinoides sacculifer,,,,Globigerinoides,,,,sacculifer,,,,,388389,species,Globigerinoides sacculifer
planktic_forams; planktic_forams,Globigerinoides sacculifer (without sac); Globigerinoides sacculifer (without sack),Globigerinoides sacculifer (without sac),,,,Globigerinoides,,,,sacculifer,,,without sac,Globigerinoides sacculifer (without sac),388389,species,Globigerinoides sacculifer
planktic_forams,Globigerinoides seiglei,Globigerinoides seiglei,,,,Globigerinoides,,,,seiglei,,,,,1504,genus,Globigerinoides
planktic_forams,Globigerinoides seigliei,Globigerinoides seigliei,,,,Globigerinoides,,,,seigliei,,,,,1504,genus,Globigerinoides
planktic_forams,Globigerinoides sicanus,Globigerinoides sicanus,,,,Globigerinoides,,,,sicanus,,,,,82228,species,Globigerinoides sicanus
planktic_forams,Globigerinoides sp.,Globigerinoides sp.,,,,Globigerinoides,,,,sp.,,,,,1504,genus,Globigerinoides
planktic_forams,Globigerinoides spp.,Globigerinoides spp.,,,,Globigerinoides,,,,spp.,,,,,1504,genus,Globigerinoides
planktic_forams; planktic_forams; planktic_forams,Globigerinoides subquadratus; Globigerinoides subquadratus _T; Globigerinoides subquadratus _T_,Globigerinoides subquadratus,,,,Globigerinoides,,,,subquadratus,,,,,422311,species,Globigerinoides subquadratus
planktic_forams,Globigerinoides tenellus,Globigerinoides tenellus,,,,Globigerinoides,,,,tenellus,,,,,113300,species,Globigerinoides tenellus
planktic_forams,Globigerinoides triloba,Globigerinoides triloba,,,,Globigerinoides,,,,triloba,,,,,1504,genus,Globigerinoides
planktic_forams,Globigerinoides trilobus,Globigerinoides trilobus,,,,Globigerinoides,,,,trilobus,,,,,82229,species,Globigerinoides trilobus
planktic_forams; planktic_forams,Globigerinoidesella fistulosa _T and B_ _Pt1a; Globigerinoidesella fistulosa _T and B_ _Pt1a_,Globigerinoidesella fistulosa,,,,Globigerinoidesella,,,,fistulosa,,,,,1505,genus,Globigerinoidesella
planktic_forams,Globigerinopsis obesa,Globigerinopsis obesa,,,,Globigerinopsis,,,,obesa,,,,,1507,genus,Globigerinopsis
benthic_forams,Globobulimina affinis,Globobulimina affinis,,,,Globobulimina,,,,affinis,,,,,1512,genus,Globobulimina
benthic_forams,Globobulimina auriculata,Globobulimina auriculata,,,,Globobulimina,,,,auriculata,,,,,1512,genus,Globobulimina
benthic_forams,Globobulimina ovata,Globobulimina ovata,,,,Globobulimina,,,,ovata,,,,,1512,genus,Globobulimina
benthic_forams,Globobulimina pacifica,Globobulimina pacifica,,,,Globobulimina,,,,pacifica,,,,,354869,species,Globobulimina pacifica
benthic_forams,Globobulimina pupoides,Globobulimina pupoides,,,,Globobulimina,,,,pupoides,,,,,1512,genus,Globobulimina
benthic_forams,Globobulimina sp.,Globobulimina sp.,,,,Globobulimina,,,,sp.,,,,,1512,genus,Globobulimina
benthic_forams,Globobulimina spinescens,Globobulimina spinescens,,,,Globobulimina,,,,spinescens,,,,,1512,genus,Globobulimina
benthic_forams; benthic_forams,Glbobulimina spp.; Globobulimina spp.,Globobulimina spp.,,,,Globobulimina,,,,spp.,,,,,1512,genus,Globobulimina
benthic_forams,Globobulimina turgida,Globobulimina turgida,,,,Globobulimina,,,,turgida,,,,,1512,genus,Globobulimina
benthic_forams,Globocassidulina biora,Globocassidulina biora,,,,Globocassidulina,,,,biora,,,,,1513,genus,Globocassidulina
benthic_forams,Globocassidulina canalisutulata,Globocassidulina canalisutulata,,,,Globocassidulina,,,,canalisutulata,,,,,1513,genus,Globocassidulina
benthic_forams,Globocassidulina crassa,Globocassidulina crassa,,,,Globocassidulina,,,,crassa,,,,,1513,genus,Globocassidulina
benthic_forams,Globocassidulina cuneata,Globocassidulina cuneata,,,,Globocassidulina,,,,cuneata,,,,,1513,genus,Globocassidulina
benthic_forams,Globocassidulina globosa,Globocassidulina globosa,,,,Globocassidulina,,,,globosa,,,,,1513,genus,Globocassidulina
benthic_forams,Globocassidulina moluccensis,Globocassidulina moluccensis,,,,Globocassidulina,,,,moluccensis,,,,,1513,genus,Globocassidulina
benthic_forams,Globocassidulina oblonga,Globocassidulina oblonga,,,,Globocassidulina,,,,oblonga,,,,,1513,genus,Globocassidulina
benthic_forams,Globocassidulina obtusa,Globocassidulina obtusa,,,,Globocassidulina,,,,obtusa,,,,,1513,genus,Globocassidulina
benthic_forams,Globocassidulina pseudocrassa,Globocassidulina pseudocrassa,,,,Globocassidulina,,,,pseudocrassa,,,,,1513,genus,Globocassidulina
benthic_forams,Globocassidulina punctata,Globocassidulina punctata,,,,Globocassidulina,,,,punctata,,,,,1513,genus,Globocassidulina
benthic_forams; benthic_forams,Globocassidulina sp.; Globocassidulina  sp.,Globocassidulina sp.,,,,Globocassidulina,,,,sp.,,,,,1513,genus,Globocassidulina
benthic_forams,Globocassidulina sp. A,Globocassidulina sp. A,,,,Globocassidulina,,,,sp. A,,,,,1513,genus,Globocassidulina
benthic_forams,Globocassidulina sp. B,Globocassidulina sp. B,,,,Globocassidulina,,,,sp. B,,,,,1513,genus,Globocassidulina
benthic_forams,Globocassidulina spp.,Globocassidulina spp.,,,,Globocassidulina,,,,spp.,,,,,1513,genus,Globocassidulina
benthic_forams,Globocassidulina subglobosa,Globocassidulina subglobosa,,,,Globocassidulina,,,,subglobosa,,,,,1513,genus,Globocassidulina
planktic_forams; planktic_forams,Globoconella triangula     (cf.); Globoconella triangula (cf.),Globoconella cf. triangula,,,,Globoconella,,,cf.,triangula,,,,,422409,species,Globoconella triangula
planktic_forams,Globoconella conica,Globoconella conica,,,,Globoconella,,,,conica,,,,,103797,genus,Globoconella
planktic_forams,Globoconella conoidea,Globoconella conoidea,,,,Globoconella,,,,conoidea,,,,,103797,genus,Globoconella
planktic_forams,Globoconella conomiozea,Globoconella conomiozea,,,,Globoconella,,,,conomiozea,,,,,422392,species,Globoconella conomiozea
planktic_forams,Globoconella explicationis,Globoconella explicationis,,,,Globoconella,,,,explicationis,,,,,422396,species,Globoconella explicationis
planktic_forams,Globoconella incognita,Globoconella incognita,,,,Globoconella,,,,incognita,,,,,103797,genus,Globoconella
planktic_forams,Globoconella inflata,Globoconella inflata,,,,Globoconella,,,,inflata,,,,,422400,species,Globoconella inflata
planktic_forams,Globoconella inflata triangula,Globoconella inflata triangula,,,,Globoconella,,,,inflata,,triangula,,,422400,species,Globoconella inflata
planktic_forams,Globoconella miotumida,Globoconella miotumida,,,,Globoconella,,,,miotumida,,,,,422401,species,Globoconella miotumida
planktic_forams,Globoconella miotumida (DEX),Globoconella miotumida (dextral),,,,Globoconella,,,,miotumida,,,dextral,,422401,species,Globoconella miotumida
planktic_forams,Globoconella miotumida (SIN),Globoconella miotumida (sinistral),,,,Globoconella,,,,miotumida,,,sinistral,,422401,species,Globoconella miotumida
planktic_forams,Globoconella miozea,Globoconella miozea,,,,Globoconella,,,,miozea,,,,,422403,species,Globoconella miozea
planktic_forams,Globoconella mons,Globoconella mons,,,,Globoconella,,,,mons,,,,,103797,genus,Globoconella
planktic_forams,Globoconella pliozea,Globoconella pliozea,,,,Globoconella,,,,pliozea,,,,,103797,genus,Globoconella
planktic_forams,Globoconella praescitula,Globoconella praescitula,,,,Globoconella,,,,praescitula,,,,,422406,species,Globoconella praescitula
planktic_forams,Globoconella pseudospinosa,Globoconella pseudospinosa,,,,Globoconella,,,,pseudospinosa,,,,,103797,genus,Globoconella
planktic_forams,Globoconella puncticulata,Globoconella puncticulata,,,,Globoconella,,,,puncticulata,,,,,422407,species,Globoconella puncticulata
planktic_forams; planktic_forams,Globoconella cf. puncticuloides; Globoconella puncticuloides,Globoconella puncticuloides,,,,Globoconella,,,,puncticuloides,,,,,103797,genus,Globoconella
planktic_forams,Globoconella puncticuloides (compressed),Globoconella puncticuloides (compressed),,,,Globoconella,,,,puncticuloides,,,compressed,,103797,genus,Globoconella
planktic_forams,Globoconella puncticuloides (vaulted),Globoconella puncticuloides (vaulted),,,,Globoconella,,,,puncticuloides,,,vaulted,,103797,genus,Globoconella
planktic_forams,Globoconella miozea (s.l),Globoconella s.l. miozea,,,,Globoconella,,,s.l.,miozea,,,,,422403,species,Globoconella miozea
planktic_forams,Globoconella sp.,Globoconella sp.,,,,Globoconella,,,,sp.,,,,,103797,genus,Globoconella
planktic_forams,Globoconella sphericomiozea,Globoconella sphericomiozea,,,,Globoconella,,,,sphericomiozea,,,,,103797,genus,Globoconella
planktic_forams,Globoconella subconomiozea,Globoconella subconomiozea,,,,Globoconella,,,,subconomiozea,,,,,103797,genus,Globoconella
planktic_forams,Globoconella triangula,Globoconella triangula,,,,Globoconella,,,,triangula,,,,,422409,species,Globoconella triangula
planktic_forams,Globoconella zealandica,Globoconella zealandica,,,,Globoconella,,,,zealandica,,,,,103797,genus,Globoconella
planktic_forams,Globoconusa daubjergensis,Globoconusa daubjergensis,,,,Globoconusa,,,,daubjergensis,,,,,1515,genus,Globoconusa
planktic_forams,Globoquadrina altispira altispira,Globoquadrina altispira altispira,,,,Globoquadrina,,,,altispira,,altispira,,,82231,species,Globoquadrina altispira
planktic_forams,Globoquadrina altispira globosa,Globoquadrina altispira globosa,,,,Globoquadrina,,,,altispira,,globosa,,,82231,species,Globoquadrina altispira
planktic_forams; planktic_forams,Globoquadrina baroemoenensis; Globoquadrina baroemoensis,Globoquadrina baroemoenensis,,,,Globoquadrina,,,,baroemoenensis,,,,,422288,species,Globoquadrina baroemoenensis
planktic_forams,Globoquadrina binaiensis,Globoquadrina binaiensis,,,,Globoquadrina,,,,binaiensis,,,,,1518,genus,Globoquadrina
planktic_forams,Globoquadrina cf. binaiensis,Globoquadrina cf. binaiensis,,,,Globoquadrina,,,cf.,binaiensis,,,,,1518,genus,Globoquadrina
planktic_forams,Globoquadrina conglomerata,Globoquadrina conglomerata,,,,Globoquadrina,,,,conglomerata,,,,,422312,species,Globoquadrina conglomerata
planktic_forams; planktic_forams; planktic_forams,Globoquadrina dehiscens; Globoquadrina dehiscens _B and T; Globoquadrina dehiscens _B and T_,Globoquadrina dehiscens,,,,Globoquadrina,,,,dehiscens,,,,,398748,species,Globoquadrina dehiscens
planktic_forams,Globoquadrina dehiscens dehiscens,Globoquadrina dehiscens dehiscens,,,,Globoquadrina,,,,dehiscens,,dehiscens,,,398748,species,Globoquadrina dehiscens
planktic_forams,Globoquadrina euapertura,Globoquadrina euapertura,,,,Globoquadrina,,,,euapertura,,,,,1518,genus,Globoquadrina
planktic_forams,Globoquadrina globularis,Globoquadrina globularis,,,,Globoquadrina,,,,globularis,,,,,1518,genus,Globoquadrina
planktic_forams,Globoquadrina praedehiscens,Globoquadrina praedehiscens,,,,Globoquadrina,,,,praedehiscens,,,,,1518,genus,Globoquadrina
planktic_forams; planktic_forams,Globoquadrina rohri; Globoquardina rohri,Globoquadrina rohri,genus misspelled,,,Globoquadrina,,,,rohri,,,,,1518,genus,Globoquadrina
planktic_forams,Globoquadrina sellii,Globoquadrina sellii,,,,Globoquadrina,,,,sellii,,,,,1518,genus,Globoquadrina
planktic_forams,Globoquadrina sp.,Globoquadrina sp.,,,,Globoquadrina,,,,sp.,,,,,1518,genus,Globoquadrina
planktic_forams,Globoquadrina spp.,Globoquadrina spp.,,,,Globoquadrina,,,,spp.,,,,,1518,genus,Globoquadrina
planktic_forams; planktic_forams,Globoquadrina tapurensis; Globoquadrina tapuriensis,Globoquadrina tapuriensis,,,,Globoquadrina,,,,tapuriensis,,,,,1518,genus,Globoquadrina
planktic_forams,Globoquadrina tripartita,Globoquadrina tripartita,,,,Globoquadrina,,,,tripartita,,,,,1518,genus,Globoquadrina
planktic_forams,Globoquadrina venezuelana,Globoquadrina venezuelana,,,,Globoquadrina,,,,venezuelana,,,,,422293,species,Globoquadrina venezuelana
planktic_forams; planktic_forams,"Globorotalia (Fohsella) ""praefohsi""; Globorotalia (Fohsella) “praefohsi”","Globorotalia Fohsella ""praefohsi""",,,,Globorotalia,,Fohsella,,"""praefohsi""",,,,,1521,genus,Globorotalia
planktic_forams,Globorotalia (Fohsella) fohsi,Globorotalia Fohsella fohsi,,,,Globorotalia,,Fohsella,,fohsi,,,,,1521,genus,Globorotalia
planktic_forams,Globorotalia (Fohsella) fohsi fohsi,Globorotalia Fohsella fohsi fohsi,,,,Globorotalia,,Fohsella,,fohsi,,fohsi,,,1521,genus,Globorotalia
planktic_forams; planktic_forams,Globorotalia (Fohsella) fohsi lobata; Globorotalia (Forsella) fohsi lobata,Globorotalia Fohsella fohsi lobata,,,,Globorotalia,,Fohsella,,fohsi,,lobata,,,1521,genus,Globorotalia
planktic_forams,Globorotalia (Fohsella) fohsi robusta,Globorotalia Fohsella fohsi robusta,,,,Globorotalia,,Fohsella,,fohsi,,robusta,,,1521,genus,Globorotalia
planktic_forams,Globorotalia (Fohsella) peripheroacuta,Globorotalia Fohsella peripheroacuta,,,,Globorotalia,,Fohsella,,peripheroacuta,,,,,1521,genus,Globorotalia
planktic_forams,Globorotalia (Fohsella) peripheroronda,Globorotalia Fohsella peripheroronda,,,,Globorotalia,,Fohsella,,peripheroronda,,,,,82239,species,Globorotalia peripheroronda
planktic_forams,Globorotalia (Fohsella) praefohsi,Globorotalia Fohsella praefohsi,,,,Globorotalia,,Fohsella,,praefohsi,,,,,422386,species,Globorotalia praefohsi
