,genus name,pbdb_taxon_id,pbdb_taxon_name,pbdb_taxon_rank
580,Cyclagelosphaera,87800,Cyclagelosphaera,genus
581,Cylindralithus,87799,Cylindralithus,genus
582,Daktylethra,424466,Daktylethra,genus
583,Diazomatolithus,87798,Diazomatolithus,genus
584,Dictyococcites,255393,Dictyococcites,genus
585,Discolithina,87709,Discolithina,genus
586,Discorhabdus,87826,Discorhabdus,genus
587,Discosphaera,424335,Discosphaera,genus
588,Eiffellithus,87863,Eiffellithus,genus
589,Ellipsolithus,424492,Ellipsolithus,genus
590,Eprolithus,87746,Eprolithus,genus
591,Ericsonia,424280,Ericsonia,genus
592,Fasciculithus,424283,Fasciculithus,genus
593,Gartnerago,87789,Gartnerago,genus
594,Girgisia,424465,Girgisia,genus
595,Gladiolithus,432555,Gladiolithus,genus
596,Glaukolithus,87705,Glaukolithus,genus
597,Gorkaea,87873,Gorkaea,genus
598,Grantarhabdus,87813,Grantarhabdus,genus
599,Haqius,87785,Haqius,genus
600,Hayaster,424029,Hayaster,genus
601,Hayella,424278,Hayella,genus
602,Hayesites,87739,Hayesites,genus
603,Helenea,87812,Helenea,genus
604,Helicolithus,87862,Helicolithus,genus
