Sample,Exp,Site,Hole,Core,Core-Sect,Type,Section,A/W,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Color(name),Lithology Prefix,Lithology Principal Name,Classification,Lithology Suffix,COMPLETE NAME,"Dominantgrain size(Wentworth, 1922)",Clastic grainRoundness,LITHIFICATION,LITHOLOGY COMMENTS,File Data,,Minor Lithology Prefix,Minor Lithology Suffix,Minor Lithology Name,row_index
"334-U1378B-21X-4-A, 117-123",334,U1378,B,21,21-4,X,4,A,117,123,166.13,166.19,N 2.5,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,consolidated,tephra,,,,,,245
"334-U1378B-21X-4-A, 123-150",334,U1378,B,21,21-4,X,4,A,123,150,166.19,166.46,10GY 3/1,,silty sand [S54],"Shepard, 1954",,silty sand,very fine sand [U14W22],,consolidated,,,,,,,246
"334-U1378B-21X-5-A, 0-150",334,U1378,B,21,21-5,X,5,A,0,150,166.46,167.96,10GY 3/1,,silty sand [S54],"Shepard, 1954",,silty sand,very fine sand [U14W22],,consolidated,,,,,,,247
"334-U1378B-21X-6-A, 0-100",334,U1378,B,21,21-6,X,6,A,0,100,167.96,168.96,10GY 3/1,,silty sand [S54],"Shepard, 1954",,silty sand,very fine sand [U14W22],,consolidated,,,,,,,248
"334-U1378B-21X-7-A, 0-93",334,U1378,B,21,21-7,X,7,A,0,93,168.96,169.89,10GY 3/1,,silty sand [S54],"Shepard, 1954",,silty sand,very fine sand [U14W22],,consolidated,,,,,,,249
"334-U1378B-21X-8-A, 0-113",334,U1378,B,21,21-8,X,8,A,0,113,169.89,171.02,10GY 3/1,,silty sand [S54],"Shepard, 1954",,silty sand,very fine sand [U14W22],,consolidated,,,,,,,250
"334-U1378B-21X-CC-A, 0-44",334,U1378,B,21,21-CC,X,CC,A,0,44,171.02,171.46,10GY 3/1,,silty sand [S54],"Shepard, 1954",,silty sand,very fine sand [U14W22],,consolidated,,,,,,,251
"334-U1378B-22X-1-A, 0-150",334,U1378,B,22,22-1,X,1,A,0,150,171.3,172.8,5GY 3/1,silty,sandy clay [S54],"Shepard, 1954",,silty sandy clay,,,consolidated,,,,,,,252
"334-U1378B-22X-2-A, 0-150",334,U1378,B,22,22-2,X,2,A,0,150,172.8,174.3,5GY 3/1,silty,sandy clay [S54],"Shepard, 1954",,silty sandy clay,,,consolidated,,,,,,,253
"334-U1378B-22X-3-A, 0-150",334,U1378,B,22,22-3,X,3,A,0,150,174.3,175.8,5GY 3/1,silty,sandy clay [S54],"Shepard, 1954",,silty sandy clay,,,consolidated,,,,,,,254
"334-U1378B-22X-4-A, 0-150",334,U1378,B,22,22-4,X,4,A,0,150,175.8,177.3,5GY 3/1,silty,sandy clay [S54],"Shepard, 1954",,silty sandy clay,,,consolidated,,,,,,,255
"334-U1378B-22X-5-A, 0-105",334,U1378,B,22,22-5,X,5,A,0,105,177.3,178.35,5GY 3/1,silty,sandy clay [S54],"Shepard, 1954",,silty sandy clay,,,consolidated,,,,,,,256
"334-U1378B-22X-6-A, 0-41",334,U1378,B,22,22-6,X,6,A,0,41,178.35,178.76,5GY 3/1,silty,sandy clay [S54],"Shepard, 1954",,silty sandy clay,,,consolidated,,,,,,,257
"334-U1378B-22X-6-A, 41-46",334,U1378,B,22,22-6,X,6,A,41,46,178.76,178.81,N 4,,clay [S54],"Shepard, 1954",,clay,,,consolidated,,,,,,,258
"334-U1378B-22X-6-A, 46-56",334,U1378,B,22,22-6,X,6,A,46,56,178.81,178.91,5GY 3/1,silty,sandy clay [S54],"Shepard, 1954",,silty sandy clay,,,consolidated,,,,,,,259
"334-U1378B-22X-6-A, 56-62",334,U1378,B,22,22-6,X,6,A,56,62,178.91,178.97,N 4,,clay [S54],"Shepard, 1954",,clay,,,consolidated,,,,,,,260
"334-U1378B-22X-6-A, 62-150",334,U1378,B,22,22-6,X,6,A,62,150,178.97,179.85,5GY 3/1,silty,sandy clay [S54],"Shepard, 1954",,silty sandy clay,,,consolidated,,,,,,,261
"334-U1378B-22X-7-A, 0-64",334,U1378,B,22,22-7,X,7,A,0,64,179.85,180.49,5GY 3/1,silty,sandy clay [S54],"Shepard, 1954",,silty sandy clay,,,consolidated,,,,,,,262
"334-U1378B-22X-CC-A, 0-40",334,U1378,B,22,22-CC,X,CC,A,0,40,180.49,180.89,5GY 3/1,silty,sandy clay [S54],"Shepard, 1954",,silty sandy clay,,,consolidated,,,,,,,263
"334-U1378B-23X-1-A, 0-150",334,U1378,B,23,23-1,X,1,A,0,150,180.2,181.7,N 2.5,,clayey silt [S54],"Shepard, 1954",,clayey silt,silt [U14W22],,consolidated,,,,,,,264
"334-U1378B-23X-1-A, 135-150",334,U1378,B,23,23-1,X,1,A,135,150,181.55,181.7,10GY 3/1,,sand [S54],"Shepard, 1954",,sand,coarse sand [U14W22],,soft,,,,,,,265
"334-U1378B-23X-2-A, 0-135",334,U1378,B,23,23-2,X,2,A,0,135,181.7,183.05,N 2.5,,clayey silt [S54],"Shepard, 1954",,clayey silt,silt [U14W22],,consolidated,,,,,,,266
"334-U1378B-23X-2-A, 0-150",334,U1378,B,23,23-2,X,2,A,0,150,181.7,183.2,10GY 3/1,,sand [S54],"Shepard, 1954",,sand,coarse sand [U14W22],,soft,,,,,,,267
"334-U1378B-23X-3-A, 0-150",334,U1378,B,23,23-3,X,3,A,0,150,183.2,184.7,N 2.5,,clayey silt [S54],"Shepard, 1954",,clayey silt,silt [U14W22],,consolidated,,,,,,,268
"334-U1378B-23X-4-A, 0-9",334,U1378,B,23,23-4,X,4,A,0,9,184.7,184.79,N 2.5,,clayey silt [S54],"Shepard, 1954",,clayey silt,silt [U14W22],,consolidated,,,,,,,269
"334-U1378B-23X-4-A, 9-11",334,U1378,B,23,23-4,X,4,A,9,11,184.79,184.81,7.5YR 5/1,,clay [S54],"Shepard, 1954",,clay,,,consolidated,tephra?,,,,,,270
"334-U1378B-23X-4-A, 11-150",334,U1378,B,23,23-4,X,4,A,11,150,184.81,186.2,N 2.5,,clayey silt [S54],"Shepard, 1954",,clayey silt,silt [U14W22],,consolidated,,,,,,,271
"334-U1378B-23X-5-A, 0-150",334,U1378,B,23,23-5,X,5,A,0,150,186.2,187.7,N 2.5,,clayey silt [S54],"Shepard, 1954",,clayey silt,silt [U14W22],,consolidated,,,,,,,272
"334-U1378B-23X-6-A, 0-126",334,U1378,B,23,23-6,X,6,A,0,126,187.7,188.96,N 2.5,,clayey silt [S54],"Shepard, 1954",,clayey silt,silt [U14W22],,consolidated,,,,,,,273
"334-U1378B-23X-7-A, 0-62",334,U1378,B,23,23-7,X,7,A,0,62,188.96,189.58,N 2.5,,sand-silt-clay [S54],"Shepard, 1954",,sand-silt-clay,silt [U14W22],,consolidated,,,,,,,274
"334-U1378B-23X-CC-A, 0-37",334,U1378,B,23,23-CC,X,CC,A,0,37,189.58,189.95,N 2.5,,sand-silt-clay [S54],"Shepard, 1954",,sand-silt-clay,silt [U14W22],,consolidated,,,,,,,275
"334-U1378B-24X-1-A, 0-89",334,U1378,B,24,24-1,X,1,A,0,89,189.8,190.69,10GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,,,,,276
"334-U1378B-24X-2-A, 0-73",334,U1378,B,24,24-2,X,2,A,0,73,190.69,191.42,10GY 2.5/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,,,,,,,277
"334-U1378B-24X-2-A, 73-150",334,U1378,B,24,24-2,X,2,A,73,150,191.42,192.19,5GY 2.5/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Sandy component is present possibly made up of foraminifera.,,,,,,278
"334-U1378B-24X-3-A, 0-150",334,U1378,B,24,24-3,X,3,A,0,150,192.19,193.69,5GY 2.5/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Sandy component is present possibly made up of foraminifera.,,,,,,279
"334-U1378B-24X-4-A, 0-26",334,U1378,B,24,24-4,X,4,A,0,26,193.69,193.95,5GY 2.5/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Sandy component is present possibly made up of foraminifera.,,,,,,280
"334-U1378B-24X-4-A, 26-150",334,U1378,B,24,24-4,X,4,A,26,150,193.95,195.19,10GY 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Sandy component is present possibly made up of foraminifera. Particles of black organic material are very common in this unit. They are particularly abundant at the top of the unit.,,,,,,281
"334-U1378B-24X-5-A, 0-145",334,U1378,B,24,24-5,X,5,A,0,145,195.19,196.64,10GY 3/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Sandy component is present possibly made up of foraminifera. Particles of black organic material are very common in this unit. They are particularly abundant at the top of the unit.,,,,,,282
"334-U1378B-24X-5-A, 145-150",334,U1378,B,24,24-5,X,5,A,145,150,196.64,196.69,5GY 2.5/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Sandy component is present possibly made up of foraminifera. Woody component becomes less down section.,,,,,,283
"334-U1378B-24X-6-A, 0-150",334,U1378,B,24,24-6,X,6,A,0,150,196.69,198.19,5GY 2.5/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Sandy component is present possibly made up of foraminifera. Woody component becomes less down section.,,,,,,284
"334-U1378B-24X-7-A, 0-118",334,U1378,B,24,24-7,X,7,A,0,118,198.19,199.37,5GY 2.5/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Sandy component is present possibly made up of foraminifera. Woody component becomes less down section.,,,,,,285
"334-U1378B-24X-CC-A, 0-53",334,U1378,B,24,24-CC,X,CC,A,0,53,199.37,199.9,5GY 2.5/1,sandy,silty clay [S54],"Shepard, 1954",,sandy silty clay,clay [U14W22],,soft,Sandy component is present possibly made up of foraminifera. Woody component becomes less down section.,,,,,,286
"334-U1378B-25X-1-A, 0-150",334,U1378,B,25,25-1,X,1,A,0,150,199.5,201,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,287
"334-U1378B-25X-2-A, 0-95",334,U1378,B,25,25-2,X,2,A,0,95,201,201.95,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,288
"334-U1378B-25X-3-A, 0-90",334,U1378,B,25,25-3,X,3,A,0,90,201.95,202.85,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,289
"334-U1378B-25X-4-A, 0-150",334,U1378,B,25,25-4,X,4,A,0,150,202.85,204.35,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,290
"334-U1378B-25X-5-A, 0-101",334,U1378,B,25,25-5,X,5,A,0,101,204.35,205.36,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,291
"334-U1378B-25X-5-A, 101-107",334,U1378,B,25,25-5,X,5,A,101,107,205.36,205.42,N 4,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,,,,,,,292
"334-U1378B-25X-5-A, 107-150",334,U1378,B,25,25-5,X,5,A,107,150,205.42,205.85,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,293
"334-U1378B-25X-6-A, 0-150",334,U1378,B,25,25-6,X,6,A,0,150,205.85,207.35,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,294
"334-U1378B-25X-7-A, 0-150",334,U1378,B,25,25-7,X,7,A,0,150,207.35,208.85,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,295
"334-U1378B-25X-CC-A, 0-48",334,U1378,B,25,25-CC,X,CC,A,0,48,208.85,209.33,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,296
"334-U1378B-26X-1-A, 0-150",334,U1378,B,26,26-1,X,1,A,0,150,209.2,210.7,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,297
"334-U1378B-26X-2-A, 0-92",334,U1378,B,26,26-2,X,2,A,0,92,210.7,211.62,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,298
"334-U1378B-26X-2-A, 92-93",334,U1378,B,26,26-2,X,2,A,92,93,211.62,211.63,10Y 2.5/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,Small grey tephra pods about 1cm in size.,,,,,,299
"334-U1378B-26X-2-A, 93-150",334,U1378,B,26,26-2,X,2,A,93,150,211.63,212.2,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,300
"334-U1378B-26X-3-A, 0-16.5",334,U1378,B,26,26-3,X,3,A,0,16.5,212.2,212.365,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,301
"334-U1378B-26X-3-A, 16.5-20",334,U1378,B,26,26-3,X,3,A,16.5,20,212.365,212.4,5YR 7/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,Medium grey with a pinkish tinge.,,,,,,302
"334-U1378B-26X-3-A, 20-35",334,U1378,B,26,26-3,X,3,A,20,35,212.4,212.55,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,303
"334-U1378B-26X-3-A, 35-42.5",334,U1378,B,26,26-3,X,3,A,35,42.5,212.55,212.625,10B 4/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,consolidated,Dark reddish grey tephra layer that appears superficially as pods.,,,,,,304
"334-U1378B-26X-3-A, 42.5-105",334,U1378,B,26,26-3,X,3,A,42.5,105,212.625,213.25,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Very disturbed,,,,,,305
"334-U1378B-26X-3-A, 105-111",334,U1378,B,26,26-3,X,3,A,105,111,213.25,213.31,White,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,tephra shows also a gradation in color from white to light greenish grey,,,,,,306
"334-U1378B-26X-3-A, 111-139",334,U1378,B,26,26-3,X,3,A,111,139,213.31,213.59,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,307
"334-U1378B-26X-3-A, 139-143",334,U1378,B,26,26-3,X,3,A,139,143,213.59,213.63,10Y 6/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,soft,,,,,,,308
"334-U1378B-26X-3-A, 143-150",334,U1378,B,26,26-3,X,3,A,143,150,213.63,213.7,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,309
"334-U1378B-26X-4-A, 0-115",334,U1378,B,26,26-4,X,4,A,0,115,213.7,214.85,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,310
"334-U1378B-26X-5-A, 0-121.5",334,U1378,B,26,26-5,X,5,A,0,121.5,214.85,216.065,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,311
"334-U1378B-26X-5-A, 121.5-123.5",334,U1378,B,26,26-5,X,5,A,121.5,123.5,216.065,216.085,10Y 6/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,,,,,312
"334-U1378B-26X-5-A, 123.5-150",334,U1378,B,26,26-5,X,5,A,123.5,150,216.085,216.35,5GY 3/1,clay,silty sand [S54],"Shepard, 1954",,clay silty sand,fine sand [U14W22],,consolidated,"mixture of clay, silt and sand, whereas sand is most dominant",,,,,,313
"334-U1378B-26X-6-A, 0-42",334,U1378,B,26,26-6,X,6,A,0,42,216.35,216.77,5GY 3/1,clay,silty sand [S54],"Shepard, 1954",,clay silty sand,fine sand [U14W22],,consolidated,"mixture of clay, silt and sand, whereas sand is most dominant",,,,,,314
"334-U1378B-26X-6-A, 42-92",334,U1378,B,26,26-6,X,6,A,42,92,216.77,217.27,5GY 3/1,clay,silt [S54],"Shepard, 1954",,clay silt,silt [U14W22],,consolidated,,,,,,,315
"334-U1378B-26X-6-A, 92-96",334,U1378,B,26,26-6,X,6,A,92,96,217.27,217.31,10Y 6/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,,,,,316
"334-U1378B-26X-6-A, 96-150",334,U1378,B,26,26-6,X,6,A,96,150,217.31,217.85,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,317
"334-U1378B-26X-7-A, 0-29",334,U1378,B,26,26-7,X,7,A,0,29,217.85,218.14,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,318
"334-U1378B-26X-7-A, 29-65",334,U1378,B,26,26-7,X,7,A,29,65,218.14,218.5,5GY 3/1,clay,silty sand [S54],"Shepard, 1954",,clay silty sand,fine sand [U14W22],,consolidated,"mixture of clay, silt and sand, whereas sand is most dominant",,,,,,319
"334-U1378B-26X-7-A, 65-69",334,U1378,B,26,26-7,X,7,A,65,69,218.5,218.54,5GY 4/1,,clay [S54],"Shepard, 1954",,clay,clay [U14W22],,cemented,carbonate cemented,,,,,,320
"334-U1378B-26X-7-A, 69-80",334,U1378,B,26,26-7,X,7,A,69,80,218.54,218.65,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,321
"334-U1378B-26X-CC-A, 0-51",334,U1378,B,26,26-CC,X,CC,A,0,51,218.65,219.16,10GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,322
"334-U1378B-26X-CC-A, 0-51",334,U1378,B,26,26-CC,X,CC,A,0,51,218.65,219.16,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,323
"334-U1378B-27X-1-A, 0-82",334,U1378,B,27,27-1,X,1,A,0,82,218,218.82,10GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,324
"334-U1378B-27X-1-A, 82-85",334,U1378,B,27,27-1,X,1,A,82,85,218.82,218.85,N 7,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,,,,,325
"334-U1378B-27X-1-A, 85-100",334,U1378,B,27,27-1,X,1,A,85,100,218.85,219,10GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,326
"334-U1378B-27X-2-A, 0-52",334,U1378,B,27,27-2,X,2,A,0,52,219,219.52,10GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,327
"334-U1378B-27X-2-A, 52-58",334,U1378,B,27,27-2,X,2,A,52,58,219.52,219.58,N 3,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,very fine sand [U14W22],,soft,,,,,,,328
"334-U1378B-27X-2-A, 58-127",334,U1378,B,27,27-2,X,2,A,58,127,219.58,220.27,10GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,329
"334-U1378B-27X-3-A, 0-12",334,U1378,B,27,27-3,X,3,A,0,12,220.27,220.39,10GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,330
"334-U1378B-27X-3-A, 12-20.5",334,U1378,B,27,27-3,X,3,A,12,20.5,220.39,220.475,5PB 6/1,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,consolidated,"Gradational ash layer in grain size but also in color: 20.5 to 19 cm: 5PB 6/1, 19 to 17cm: 5PB 8/1, 16.5 to 15:5GY 4/1, 15 to 12.5: 10Y 4/1, 12.5 to 11: 5GY 3/1",,,,,,331
"334-U1378B-27X-3-A, 20.5-150",334,U1378,B,27,27-3,X,3,A,20.5,150,220.475,221.77,10GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,332
"334-U1378B-27X-4-A, 0-31",334,U1378,B,27,27-4,X,4,A,0,31,221.77,222.08,10GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,333
"334-U1378B-27X-4-A, 31-58",334,U1378,B,27,27-4,X,4,A,31,58,222.08,222.35,10Y 4/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,calcareous mud,,,,,,334
"334-U1378B-27X-4-A, 58-150",334,U1378,B,27,27-4,X,4,A,58,150,222.35,223.27,10GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,335
"334-U1378B-27X-5-A, 0-70",334,U1378,B,27,27-5,X,5,A,0,70,223.27,223.97,10GY 4/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,336
"334-U1378B-27X-5-A, 70-70",334,U1378,B,27,27-5,X,5,A,70,70,223.97,223.97,10Y 4/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,calcareous mud,,,,,,337
"334-U1378B-27X-CC-A, 0-44",334,U1378,B,27,27-CC,X,CC,A,0,44,223.97,224.41,10Y 4/1,,silty clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,soft,calcareous mud,,,,,,338
"334-U1378B-28X-1-A, 0-150",334,U1378,B,28,28-1,X,1,A,0,150,227.6,229.1,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,339
"334-U1378B-28X-1-A, 0-150",334,U1378,B,28,28-1,X,1,A,0,150,227.6,229.1,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,340
"334-U1378B-28X-2-A, 0-150",334,U1378,B,28,28-2,X,2,A,0,150,229.1,230.6,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,341
"334-U1378B-28X-2-A, 0-150",334,U1378,B,28,28-2,X,2,A,0,150,229.1,230.6,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,342
"334-U1378B-28X-3-A, 0-150",334,U1378,B,28,28-3,X,3,A,0,150,230.6,232.1,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,343
"334-U1378B-28X-3-A, 0-150",334,U1378,B,28,28-3,X,3,A,0,150,230.6,232.1,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,344
"334-U1378B-28X-4-A, 0-150",334,U1378,B,28,28-4,X,4,A,0,150,232.1,233.6,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,345
"334-U1378B-28X-4-A, 0-150",334,U1378,B,28,28-4,X,4,A,0,150,232.1,233.6,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,346
"334-U1378B-28X-5-A, 0-3",334,U1378,B,28,28-5,X,5,A,0,3,233.6,233.63,N 5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,consolidated,,,,,,,347
"334-U1378B-28X-5-A, 0-148",334,U1378,B,28,28-5,X,5,A,0,148,233.6,235.08,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,348
"334-U1378B-28X-5-A, 3-4.5",334,U1378,B,28,28-5,X,5,A,3,4.5,233.63,233.645,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,349
"334-U1378B-28X-5-A, 4.5-6.5",334,U1378,B,28,28-5,X,5,A,4.5,6.5,233.645,233.665,N 5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine silt [U14W22],,consolidated,,,,,,,350
"334-U1378B-28X-5-A, 6.5-148",334,U1378,B,28,28-5,X,5,A,6.5,148,233.665,235.08,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,351
"334-U1378B-28X-5-A, 148-150",334,U1378,B,28,28-5,X,5,A,148,150,235.08,235.1,N 2.5,,tephra [F&S84],"Fisher and Schminke, 1984",,tephra,fine sand [U14W22],,soft,,,,,,,352
"334-U1378B-28X-6-A, 0-100",334,U1378,B,28,28-6,X,6,A,0,100,235.1,236.1,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Upper 10cm of Section 1 contains disturbed clasts from drilling. Core is calcareous in composition.,,,,,,353
"334-U1378B-28X-6-A, 0-100",334,U1378,B,28,28-6,X,6,A,0,100,235.1,236.1,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,354
"334-U1378B-28X-6-A, 0-100",334,U1378,B,28,28-6,X,6,A,0,100,235.1,236.1,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,355
"334-U1378B-28X-6-A, 0-100",334,U1378,B,28,28-6,X,6,A,0,100,235.1,236.1,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,356
"334-U1378B-28X-7-A, 0-65",334,U1378,B,28,28-7,X,7,A,0,65,236.1,236.75,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Upper 10cm of Section 1 contains disturbed clasts from drilling. Core is calcareous in composition.,,,,,,357
"334-U1378B-28X-7-A, 0-65",334,U1378,B,28,28-7,X,7,A,0,65,236.1,236.75,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,358
"334-U1378B-28X-7-A, 0-65",334,U1378,B,28,28-7,X,7,A,0,65,236.1,236.75,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,359
"334-U1378B-28X-7-A, 0-65",334,U1378,B,28,28-7,X,7,A,0,65,236.1,236.75,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,360
"334-U1378B-28X-8-A, 0-26",334,U1378,B,28,28-8,X,8,A,0,26,236.75,237.01,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,Upper 10cm of Section 1 contains disturbed clasts from drilling. Core is calcareous in composition.,,,,,,361
"334-U1378B-28X-8-A, 0-26",334,U1378,B,28,28-8,X,8,A,0,26,236.75,237.01,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,362
"334-U1378B-28X-8-A, 0-26",334,U1378,B,28,28-8,X,8,A,0,26,236.75,237.01,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,363
"334-U1378B-28X-8-A, 0-26",334,U1378,B,28,28-8,X,8,A,0,26,236.75,237.01,5GY 3/1,silty,clay [S54],"Shepard, 1954",,silty clay,clay [U14W22],,consolidated,,,,,,,364
