Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithology Prefix,Lithology Principal Name,Texture Rank [read only],MAJ Lith. prefix+name [read only],Lithification,Lithification rank [read only],MAJ Lith. color,MAJ Lith. ave. grain size ,Grain size rank [read only],Skeletal components MAJOR,Skeletal components MAJOR comment,Skeletal components INTERMEDIATE,Skeletal components INTERMEDIATE comment,Skeletal components MINOR,Skeletal components MINOR comment,Non-skeletal components,Non-skeletal components comment,Sedimentary structure,Diagenetic structure,Diagenetic structure comment,Layer or bedding thickness,Bioturbation intensity,Bioturbation intensity rank [read only],Bioturbation type,Bottom contact or boundary definition,Bottom contact or boundary attitude,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Minor Lithology Prefix,Minor Lithology Suffix,Lithology Suffix,Minor Lithology Name,Extra Sample ID Data
359-U1467B-35H-7-A,0,77,318.4,319.17,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Chert throughout the section",,,,359,U1467,B,35,H,7,A,,,,,
359-U1467B-35H-CC-A,0,17,319.17,319.34,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Chert throughout the section",,,,359,U1467,B,35,H,CC,A,,,,,
359-U1467B-36H-1-A,0,150,318.9,320.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Chert throughout the section. Sieved sample shows cemented grains and small planktic foraminifera",,,,359,U1467,B,36,H,1,A,,,,,
359-U1467B-36H-2-A,0,150,320.4,321.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Chert spots throughout the section. Moldic porosity",,,,359,U1467,B,36,H,2,A,,,,,
359-U1467B-36H-3-A,0,150,321.9,323.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Chert spots throughout the section. Moldic porosity",,,,359,U1467,B,36,H,3,A,,,,,
359-U1467B-36H-4-A,0,140,323.4,324.8,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Chert spots throughout the section. Moldic porosity",,,,359,U1467,B,36,H,4,A,,,,,
359-U1467B-36H-5-A,0,150,324.9,326.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Chert spots throughout the section. Moldic porosity. Gradual color transition to the top from light gray to light brownish gray",,,,359,U1467,B,36,H,5,A,,,,,
359-U1467B-36H-6-A,0,150,326.4,327.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,Thalassinoides,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Chert spots throughout the section. Moldic porosity. Thalassinoides, Planolites, Chondrites?",,,,359,U1467,B,36,H,6,A,,,,,
359-U1467B-36H-7-A,0,71,327.9,328.61,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,Thalassinoides,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Chert spots throughout the section. Moldic porosity. Thin section 2 23-25 cm",,,,359,U1467,B,36,H,7,A,,,,,
359-U1467B-36H-CC-A,0,5,328.61,328.66,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,Thalassinoides,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted.",,,,359,U1467,B,36,H,CC,A,,,,,
359-U1467B-37H-1-A,0,150,328.4,329.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Chert specks throughout the section.",,,,359,U1467,B,37,H,1,A,,,,,
359-U1467B-37H-2-A,0,150,329.9,331.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/1 (gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Gradual color change from 2.5Y 7/1 to 2.5Y 6/2. Black grains disseminated throughout intact lithified sediments",,,,359,U1467,B,37,H,2,A,,,,,
359-U1467B-37H-3-A,0,150,331.4,332.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Black grains disseminated throughout intact lithified sediments. Dissolution",,,,359,U1467,B,37,H,3,A,,,,,
359-U1467B-37H-4-A,0,140,332.9,334.3,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/1 (gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Chert specks throughout the section. Black grains disseminated throughout intact lithified sediments.",,,,359,U1467,B,37,H,4,A,,,,,
359-U1467B-37H-5-A,0,150,334.4,335.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/1 (gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Chert specks throughout the section. Black grains disseminated throughout intact lithified sediments.",,,,359,U1467,B,37,H,5,A,,,,,
359-U1467B-37H-6-A,0,150,335.9,337.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Chert specks throughout the section. Black grains disseminated throughout intact lithified sediments.",,,,359,U1467,B,37,H,6,A,,,,,
359-U1467B-37H-7-A,0,73,337.4,338.13,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,Thalassinoides,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Moldic porosity, Planolites and Thalassinoides",,,,359,U1467,B,37,H,7,A,,,,,
359-U1467B-37H-CC-A,0,21,338.13,338.34,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,Thalassinoides,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Moldic porosity, Planolites and Thalassinoides",,,,359,U1467,B,37,H,CC,A,,,,,
359-U1467B-38F-1-A,0,78,337.9,338.68,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,Thalassinoides,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Excellent preservation of planktic foraminifera. Thalassinoides and Planolites. Moldic porosity. Gradual color change from 2.5 Y 7/1 to 2.5Y 6/2",,,,359,U1467,B,38,F,1,A,,,,,
359-U1467B-38F-2-A,0,140,338.68,340.08,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,,,,complete,6,Thalassinoides,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Excellent preservation of planktic foraminifera. Thalassinoides and Planolites. Moldic porosity. Gradual color change from 2.5Y 6/2 to 2.5 Y 7/1. Sieve sample shows PF (A) BF (R) and some chert grains (R)",,,,359,U1467,B,38,F,2,A,,,,,
359-U1467B-38F-3-A,0,150,340.18,341.68,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),rare,foraminifera (large benthic),,,,,,,,complete,6,Thalassinoides,,,"Partly lithified to unlithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Excellent preservation of planktic foraminifera. Thalassinoides and Planolites. Moldic porosity. Gradual color change from 2.5Y 6/2 to 2.5 Y 7/1 upwards Large Benthics at 40-50",,,,359,U1467,B,38,F,3,A,,,,,
359-U1467B-38F-4-A,0,96,341.68,342.64,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),rare,,,,,,,,,complete,6,Thalassinoides,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Excellent preservation of planktic foraminifera. Thalassinoides, Planolites, Chondrites. Chert nodules at 45, 48",,,,359,U1467,B,38,F,4,A,,,,,
359-U1467B-38F-CC-A,0,20,342.64,342.84,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),rare,,,,,,,,,complete,6,Thalassinoides,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted.",,,,359,U1467,B,38,F,CC,A,,,,,
359-U1467B-39F-1-A,0,150,342.6,344.1,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),rare,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted.",,,,359,U1467,B,39,F,1,A,,,,,
359-U1467B-39F-2-A,0,150,344.1,345.6,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),rare,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Moldic porosity",,,,359,U1467,B,39,F,2,A,,,,,
359-U1467B-39F-3-A,0,150,345.6,347.1,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),rare,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Moldic porosity",,,,359,U1467,B,39,F,3,A,,,,,
359-U1467B-39F-4-A,0,65,346.61,347.26,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),rare,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Moldic porosity",,,,359,U1467,B,39,F,4,A,,,,,
359-U1467B-39F-CC-A,0,24,347.26,347.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),rare,,,,,,,,,complete,6,,,,"Partly lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, moderately to well-sorted. Moldic porosity",,,,359,U1467,B,39,F,CC,A,,,,,
359-U1467B-40F-1-A,0,16,347.3,347.46,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5y 5/2 (grayish brown),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),rare,,,,,,,,,complete,6,,gradational,horizontal,Partially lithified. Planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,40,F,1,A,,,,,
359-U1467B-40F-1-A,16,36,347.46,347.66,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),rare,,,,,,chert nodule,,,complete,6,,gradational,horizontal,Unlithified. Planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,40,F,1,A,,,,,
359-U1467B-40F-1-A,36,112,347.66,348.42,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,chert nodule,moldic porosity,,complete,6,,gradational,horizontal,Partially lithified. Planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,40,F,1,A,,,,,
359-U1467B-40F-1-A,112,130,348.42,348.6,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),rare,,,,,,chert nodule,,,complete,6,Planolites,gradational,horizontal,Unlithified. Planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,40,F,1,A,,,,,
359-U1467B-40F-1-A,130,150,348.6,348.8,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,unlithified,1,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,foraminifera (benthic),rare,,,,,,chert nodule,,,complete,6,chondrites,,,Unlithified. Planktic foraminifera-rich WACKESTONE. Mottling. Phycosiphon (?),,,,359,U1467,B,40,F,1,A,,,,,
359-U1467B-40F-2-A,0,60,348.8,349.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,chert nodule,,,complete,6,Zoophycos,gradational,horizontal,Partially lithified. Planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,40,F,2,A,,,,,
359-U1467B-40F-2-A,60,84,349.4,349.64,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,chert nodule,,,complete,6,,gradational,horizontal,Partially lithified. Planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,40,F,2,A,,,,,
359-U1467B-40F-2-A,84,130,349.64,350.1,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,chert nodule,,,complete,6,Chondrites,,,Partially lithified. Planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,40,F,2,A,,,,,
359-U1467B-40F-3-A,0,44,350.2,350.64,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,chert nodule,Chert specks. Moldic porosity.,,complete,6,,gradational,horizontal,Partially lithified. Planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,40,F,3,A,,,,,
359-U1467B-40F-3-A,44,101,350.64,351.21,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),,,,,,,,,chert nodule,Moldic porosity.,,complete,6,,gradational,,Partially lithified. Planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,40,F,3,A,,,,,
359-U1467B-40F-4-A,0,79,351.21,352.0,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,mold,,,complete,6,,,,Partially lithified. Planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,40,F,4,A,,,,,
359-U1467B-40F-CC-A,0,14,352.0,352.14,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),,,,,,,,,mold,,,complete,6,,,,Partially lithified. Planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,40,F,CC,A,,,,,
359-U1467B-41F-1-A,0,150,352.0,353.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),poorly preserved,bivalve,fragments and molds,,,,,,mold,,,common,4,Thalassinoides,,,Partially lithified. Planktic foraminifera-rich WACKESTONE.,,,,359,U1467,B,41,F,1,A,,,,,
359-U1467B-41F-2-A,0,150,353.5,355.0,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,,,,mold,,,common,4,Thalassinoides,,,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, well-sorted. Planktic foraminifera (P). Thalassinoides (P) 37 cm. Lithified burrow at 82-88 cm (2.5Y 4/1).",,,,359,U1467,B,41,F,2,A,,,,,
359-U1467B-41F-3-A,0,102,355.0,356.02,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,,,,mold,,,common,4,Thalassinoides,,,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P).",,,,359,U1467,B,41,F,3,A,,,,,
359-U1467B-41F-4-A,0,56,356.02,356.58,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,,,,mold,,,complete,6,Thalassinoides,,,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P).",,,,359,U1467,B,41,F,4,A,,,,,
359-U1467B-42F-1-A,0,150,356.7,358.2,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,,,,mold,,,complete,6,Thalassinoides,,,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P).",,,,359,U1467,B,42,F,1,A,,,,,
359-U1467B-42F-2-A,0,140,358.2,359.6,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,,,,mold,,,complete,6,Thalassinoides,,,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P).",,,,359,U1467,B,42,F,2,A,,,,,
359-U1467B-42F-3-A,0,137,359.7,361.07,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,,,,mold,,,complete,6,Thalassinoides,,,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P).",,,,359,U1467,B,42,F,3,A,,,,,
359-U1467B-42F-CC-A,0,16,361.07,361.23,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,,,,mold,,,complete,6,Thalassinoides,,,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P).",,,,359,U1467,B,42,F,CC,A,,,,,
359-U1467B-43H-1-A,0,110,361.4,362.5,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,intraclast,Celestite fragments,,,,,complete,6,,gradational,horizontal,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P). Celestite (?) fragments are few(up to 1 cm, most <5 mm)",,,,359,U1467,B,43,H,1,A,,,,,
359-U1467B-43H-1-A,110,150,362.5,362.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 6/2 (light olive gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,intraclast,Celestite fragments,,,,,complete,6,,,,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P). Celestite (?) fragments are few(up to 1 cm, most <5 mm)",,,,359,U1467,B,43,H,1,A,,,,,
359-U1467B-43H-2-A,0,94,362.9,363.84,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 6/2 (light olive gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,intraclast,Celestite fragments,,,,,complete,6,,gradational,horizontal,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P). Celestite (?) fragments are few(up to 1 cm, most <5 mm)",,,,359,U1467,B,43,H,2,A,,,,,
359-U1467B-43H-2-A,94,150,363.84,364.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,intraclast,Celestite fragments,,,,,complete,6,,,,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P). Celestite (?) fragments are few(up to 1 cm, most <5 mm). Large celestite @ 93 - 97",,,,359,U1467,B,43,H,2,A,,,,,
359-U1467B-43H-3-A,0,114,364.4,365.54,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 7/1 (light gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,intraclast,Celestite fragments,,,,,complete,6,,gradational,horizontal,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P). Celestite (?) fragments are few(up to 1 cm, most <5 mm)",,,,359,U1467,B,43,H,3,A,,,,,
359-U1467B-43H-3-A,114,150,365.54,365.9,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 6/2 (light olive gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,intraclast,Celestite fragments,,,,,complete,6,,,,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P). Celestite (?) fragments are few(up to 2 cm, most <5 mm).",,,,359,U1467,B,43,H,3,A,,,,,
359-U1467B-43H-4-A,0,30,365.9,366.2,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 6/2 (light olive gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,intraclast,Celestite fragments,,,,,complete,6,,gradational,horizontal,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P). Celestite (?) fragments are few(up to 2 cm, most <5 mm).",,,,359,U1467,B,43,H,4,A,,,,,
359-U1467B-43H-4-A,30,140,366.2,367.3,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 5/2 (olive gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,intraclast,Celestite fragments,,,,,complete,6,,gradational,horizontal,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P). Celestite (?) fragments are few(up to 2 cm, most <5 mm).",,,,359,U1467,B,43,H,4,A,,,,,
359-U1467B-43H-5-A,0,60,367.4,368.0,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,intraclast,Celestite fragments,,,,,complete,6,,,,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P). Celestite (?) fragments are few(up to 2 cm, most <5 mm).",,,,359,U1467,B,43,H,5,A,,,,,
359-U1467B-43H-5-A,60,147,368.0,368.87,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,5Y 6/2 (light olive gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,intraclast,Celestite fragments,,,,,complete,6,,gradational,horizontal,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P). Celestite (?) fragments are few(up to 2 cm, most <5 mm).",,,,359,U1467,B,43,H,5,A,,,,,
359-U1467B-43H-CC-A,0,10,368.87,368.97,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 6/2 (light brownish gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,intraclast,Celestite fragments,,,,,complete,6,,gradational,horizontal,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Thalassinoides (P) and lithified burrows (P). Celestite (?) fragments are few(up to 2 cm, most <5 mm).",,,,359,U1467,B,43,H,CC,A,,,,,
359-U1467B-44H-1-A,0,150,370.9,372.4,planktic foraminifer rich,wackestone,2,planktic foraminifer rich wackestone,partially lithified,3,2.5Y 7/2 (light gray),very fine sand,3,foraminifera (planktic),poorly preserved,,,,,intraclast,Celestite fragments,,,,,complete,6,,gradational,horizontal,"Partially lithified planktic foraminifera-rich WACKESTONE. Very fine-grained, poorly-sorted. Planktic foraminifera (A). Celestite (?) (R).",,,,359,U1467,B,44,H,1,A,,,,,
