Sample,Top [cm],Bottom [cm],Top Depth [m],Bottom Depth [m],Lithologic unit (preliminary),Lithology Prefix,Lithology Principal Name,Lithology Suffix,MAJ Lith. prefix+name+suffix [read only],TEPHRA type,Sediment structures,MAJ lith color (simple),MAJ Lith. color,MAJ Lith. abundance [%],MAJ Lith. ave. grain size ,MAJ Lith. ave. grain size rank [read only],MAJ Lith. max. grain size,MAJ Lith. max. grain size rank [read only],MAJ lithology comment,Minor Lithology Prefix,Minor Lithology Name,Minor Lithology Suffix,MIN Lith. prefix + name,MIN Lith. prefix+name+suffix,MIN Lith. name+suffix,MIN lith color (simple),MIN Lith. color,MIN Lith. abundance [%],MIN Lith. ave. grain size ,MIN Lith. ave. grain size rank,MIN Lith. max. grain size ,MIN Lith. max. grain size rank,MIN lithology comment,Lith. abundance sum [%],Bottom contact or boundary geometry,Bottom contact or boundary definition,Bottom contact or boundary attitude,Layer or bedding thickness,Grading,Amount of ash in lithology,Amount of ash in lithology rank [read only],Sedimentary structure comment,Bioturbation intensity,Bioturbation intensity rank [read only],Diagenetic structure,Macrofossil,General interval comment,Ship File Links,Shore File Links,File Data,Exp,Site,Hole,Core,Type,Section,A/W,Extra Sample ID Data
355-U1456C-14H,0,902.0,96.3,105.32,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,14,H,,,
355-U1456C-14H-1-A,0,60.0,96.3,96.9,,,calcareous ooze,,calcareous ooze,,burrows,white,GLEY 1 7/10Y (light greenish grey),60,clay,1,silt,2,,,calcareous ooze,with silt,calcareous ooze,calcareous ooze with silt,calcareous ooze with silt,light gray,GLEY 1 6/10Y (greenish gray),40,clay,1,silt,2,,100,erosive,sharp,horizontal,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,1,A,
355-U1456C-14H-1-A,60,81.0,96.9,97.11,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),70,clay,1,silt,2,,,calcareous ooze,with silt,calcareous ooze,calcareous ooze with silt,calcareous ooze with silt,light gray,GLEY 1 6/10Y (greenish gray),30,silt,2,silt,2,,100,bioturbated,bioturbated,sub-horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,1,A,
355-U1456C-14H-1-A,81,96.0,97.11,97.26,,,calcareous ooze,,calcareous ooze,,burrows,white,GLEY 1 7/10Y (light greenish grey),90,clay,1,silt,2,,,calcareous ooze,with silt,calcareous ooze,calcareous ooze with silt,calcareous ooze with silt,light gray,GLEY 1 6/10Y (greenish gray),10,silt,2,silt,2,,100,erosive,sharp,sub-horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,1,A,
355-U1456C-14H-1-A,96,113.0,97.26,97.43,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),70,clay,1,silt,2,,,calcareous chalk,with sand,calcareous chalk,calcareous chalk with sand,calcareous chalk with sand,dark gray,GLEY 1 5/10Y (greenish gray),30,fine sand,4,medium sand,5,,100,erosive,sharp,horizontal,medium bedded,normally graded,,,,slight,2,,,,,,,355,U1456,C,14,H,1,A,
355-U1456C-14H-1-A,113,150.0,97.43,97.8,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),80,clay,1,silt,2,,,calcareous ooze,with sand,calcareous ooze,calcareous ooze with sand,calcareous ooze with sand,dark gray,GLEY 1 5/10Y (greenish gray),20,fine sand,4,medium sand,5,,100,,,,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,1,A,
355-U1456C-14H-2-A,0,6.0,97.8,97.86,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),90,silt,2,fine sand,4,,,calcareous ooze,with sand,calcareous ooze,calcareous ooze with sand,calcareous ooze with sand,light gray,GLEY 1 6/10Y (greenish gray),10,fine sand,4,medium sand,5,,100,erosive,bioturbated,sub-horizontal,thinly bedded,,,,,,,,,,,,,355,U1456,C,14,H,2,A,
355-U1456C-14H-2-A,6,61.0,97.86,98.41,,,nannofossil ooze,with silt,nannofossil ooze with silt,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),70,silt,2,silt,2,,,sand,with foraminifers,sand,sand with foraminifers,sand with foraminifers,dark gray,GLEY 1 3/10Y (very dark greenish gray),30,fine sand,4,medium sand,5,,100,erosive,sharp,sub-vertical,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,2,A,
355-U1456C-14H-2-A,61,87.0,98.41,98.67,,,nannofossil ooze,,nannofossil ooze,,burrows,dark gray,GLEY 1 5/10Y (greenish gray),60,clay,1,silt,2,,,sand,with foraminifers,sand,sand with foraminifers,sand with foraminifers,dark gray,GLEY 1 4/10Y (dark greenish gray),40,fine sand,4,medium sand,5,,100,erosive,sharp,sub-horizontal,medium bedded,normally graded,,,,slight,2,,,,,,,355,U1456,C,14,H,2,A,
355-U1456C-14H-2-A,87,141.0,98.67,99.21,,,nannofossil ooze,,nannofossil ooze,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),70,clay,1,silt,2,,,nannofossil ooze,with silt,nannofossil ooze,nannofossil ooze with silt,nannofossil ooze with silt,dark gray,GLEY 1 3/10Y (very dark greenish gray),30,clay,1,silt,2,,100,erosive,bioturbated,sub-horizontal,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,2,A,
355-U1456C-14H-2-A,141,150.0,99.21,99.3,,nannofossil rich,sand,with foraminifers,sand with foraminifers,,,dark gray,GLEY 1 4/10Y (dark greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,,,,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,C,14,H,2,A,
355-U1456C-14H-3-A,0,15.0,99.3,99.45,,nannofossil rich,sand,,nannofossil rich sand,,,dark gray,GLEY 1 4/10Y (dark greenish gray),,silt,2,silt,2,,,,,,,,,,,,,,,,,erosive,sharp,sub-horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,C,14,H,3,A,
355-U1456C-14H-3-A,15,35.0,99.45,99.65,,,nannofossil ooze,with silt,nannofossil ooze with silt,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,planar,sharp,horizontal,medium bedded,,,,,moderate,3,,,,,,,355,U1456,C,14,H,3,A,
355-U1456C-14H-3-A,35,87.0,99.65,100.17,,,calcareous ooze,with silt,calcareous ooze with silt,,burrows,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,bioturbated,bioturbated,horizontal,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,3,A,
355-U1456C-14H-3-A,87,105.0,100.17,100.35,,,calcareous ooze,with sand,calcareous ooze with sand,,,light gray,GLEY 1 6/10Y (greenish gray),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,erosive,bioturbated,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,14,H,3,A,
355-U1456C-14H-3-A,105,150.0,100.35,100.8,,,calcareous ooze,,calcareous ooze,,burrows,white,GLEY 1 7/10Y (light greenish grey),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,3,A,
355-U1456C-14H-4-A,0,77.0,100.8,101.57,,,calcareous ooze,,calcareous ooze,,burrows,white,GLEY 1 7/10Y (light greenish grey),,clay,1,silt,2,,,,,,,,,,,,,,,,,planar,bioturbated,sub-horizontal,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,4,A,
355-U1456C-14H-4-A,77,87.0,101.57,101.67,,,calcareous ooze,with clay,calcareous ooze with clay,,burrows,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,bioturbated,bioturbated,sub-horizontal,thinly bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,4,A,
355-U1456C-14H-4-A,87,150.0,101.67,102.3,,,calcareous ooze,,calcareous ooze,,burrows,white,GLEY 1 7/10Y (light greenish grey),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,4,A,
355-U1456C-14H-5-A,0,9.0,102.3,102.39,,,calcareous ooze,with clay,calcareous ooze with clay,,burrows,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,bioturbated,bioturbated,sub-horizontal,thinly bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,5,A,
355-U1456C-14H-5-A,9,36.0,102.39,102.66,,,calcareous ooze,,calcareous ooze,,burrows,white,GLEY 1 7/10Y (light greenish grey),,clay,1,silt,2,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,,,,,,,,,,bioturbated,bioturbated,sub-horizontal,medium bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,5,A,
355-U1456C-14H-5-A,36,72.0,102.66,103.02,,,calcareous ooze,with silt,calcareous ooze with silt,,burrows,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,erosive,bioturbated,sub-horizontal,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,5,A,
355-U1456C-14H-5-A,72,104.0,103.02,103.34,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,dark gray,GLEY 1 5/10Y (greenish gray),80,clay,1,silt,2,,nannofossil rich,sand,with foraminifers,sand,sand with foraminifers,sand with foraminifers,dark gray,GLEY 1 2.5/10Y (greenish black),20,fine sand,4,medium sand,5,,100,erosive,scoured,inclined,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,5,A,
355-U1456C-14H-5-A,104,150.0,103.34,103.8,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,5,A,
355-U1456C-14H-6-A,0,9.0,103.8,103.89,,nannofossil rich,sand,,nannofossil rich sand,,,dark gray,GLEY 1 2.5/10Y (greenish black),,fine sand,4,medium sand,5,,,,,,,,,,,,,,,,,erosive,sharp,sub-horizontal,thinly bedded,normally graded,,,,,,,,,,,,355,U1456,C,14,H,6,A,
355-U1456C-14H-6-A,9,74.0,103.89,104.54,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,dark gray,GLEY 1 3/10Y (very dark greenish gray),90,clay,1,silt,2,,,sand,with foraminifers,sand,sand with foraminifers,sand with foraminifers,dark gray,GLEY 1 3/10Y (very dark greenish gray),10,fine sand,4,medium sand,5,,100,erosive,sharp,sub-horizontal,thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,14,H,6,A,
355-U1456C-14H-6-A,74,106.0,104.54,104.86,,,nannofossil ooze,with silt,nannofossil ooze with silt,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,bioturbated,bioturbated,sub-horizontal,thickly bedded,,,,,moderate,3,,,,,,,355,U1456,C,14,H,6,A,
355-U1456C-14H-6-A,106,138.0,104.86,105.18,,,nannofossil ooze,,nannofossil ooze,,,light gray,GLEY 1 6/10Y (greenish gray),,silt,2,silt,2,,,,,,,,,,,,,,,,,bioturbated,bioturbated,sub-horizontal,thickly bedded,,,,,,,pyrite,,,,,,355,U1456,C,14,H,6,A,
355-U1456C-14H-6-A,138,147.0,105.18,105.27,,,nannofossil ooze,with sand,nannofossil ooze with sand,,,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,thinly bedded,,,,,,,,,,,,,355,U1456,C,14,H,6,A,
355-U1456C-15H,0,974.0,105.8,115.54,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,15,H,,,
355-U1456C-15H-1-A,0,7.0,105.8,105.87,,,nannofossil ooze,,nannofossil ooze,,,white,GLEY 1 7/10Y (light greenish grey),,clay,1,silt,2,,,,,,,,,,,,,,,,,planar,sharp,horizontal,thinly bedded,,,,,,,,,,,,,355,U1456,C,15,H,1,A,
355-U1456C-15H-1-A,7,76.0,105.87,106.56,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 5/10Y (greenish gray),90,clay,1,silt,2,,,sand,with foraminifers,sand,sand with foraminifers,sand with foraminifers,dark gray,GLEY 1 4/10Y (dark greenish gray),10,fine sand,4,medium sand,5,,100,erosive,scoured,sub-horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,C,15,H,1,A,
355-U1456C-15H-1-A,76,99.0,106.56,106.79,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),60,clay,1,clay,1,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,light gray,GLEY 1 5/10Y (greenish gray),40,clay,1,clay,1,,100,gradational,gradational,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,15,H,1,A,
355-U1456C-15H-1-A,99,150.0,106.79,107.3,,,nannofossil ooze,with silt,nannofossil ooze with silt,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),70,clay,1,silt,2,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,light gray,GLEY 1 5/10Y (greenish gray),30,clay,1,clay,1,,100,,,,thickly bedded,,,,,,,,,,,,,355,U1456,C,15,H,1,A,
355-U1456C-15H-2-A,0,19.0,107.3,107.49,,,nannofossil ooze,with silt,nannofossil ooze with silt,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),60,clay,1,silt,2,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,light gray,GLEY 1 5/10Y (greenish gray),40,,,,,,100,erosive,sharp,horizontal,medium bedded,normally coarse-tail graded,,,,,,,,,,,,355,U1456,C,15,H,2,A,
355-U1456C-15H-2-A,19,79.0,107.49,108.09,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),80,clay,1,clay,1,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,light gray,GLEY 1 6/10Y (greenish gray),20,clay,1,clay,1,,100,erosive,scoured,sub-horizontal,thickly bedded,,,,,,,pyrite,,,,,,355,U1456,C,15,H,2,A,
355-U1456C-15H-2-A,79,112.0,108.09,108.42,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,gradational,gradational,sub-horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,C,15,H,2,A,
355-U1456C-15H-2-A,112,140.0,108.42,108.7,,,nannofossil ooze,with silt,nannofossil ooze with silt,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,medium bedded,,,,,,,pyrite,,,,,,355,U1456,C,15,H,2,A,
355-U1456C-15H-2-A,140,150.0,108.7,108.8,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,medium bedded,,,,,,,,,,,,,355,U1456,C,15,H,2,A,
355-U1456C-15H-3-A,0,36.0,108.8,109.16,,nannofossil rich,clay,,nannofossil rich clay,,burrows,dark gray,GLEY 1 3/10Y (very dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,C,15,H,3,A,
355-U1456C-15H-3-A,36,49.0,109.16,109.29,,nannofossil rich,silt,,nannofossil rich silt,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,silt,2,very fine sand,3,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,15,H,3,A,
355-U1456C-15H-3-A,49,68.0,109.29,109.48,,,calcareous ooze,,calcareous ooze,,burrows,light gray,GLEY 1 7/10Y (light greenish grey),70,clay,1,silt,2,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,dark gray,GLEY 1 4/10Y (dark greenish gray),30,clay,1,clay,1,,100,erosive,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,15,H,3,A,
355-U1456C-15H-3-A,68,97.0,109.48,109.77,,nannofossil rich,silt,,nannofossil rich silt,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,silt,2,very fine sand,3,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,medium bedded,normally graded,,,,,,,,,,,,355,U1456,C,15,H,3,A,
355-U1456C-15H-3-A,97,131.0,109.77,110.11,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),80,clay,1,clay,1,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,light gray,GLEY 1 5/10Y (greenish gray),20,clay,1,clay,1,,100,erosive,scoured,sub-horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,C,15,H,3,A,
355-U1456C-15H-3-A,131,150.0,110.11,110.3,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,medium bedded,,,,,,,,,,,,,355,U1456,C,15,H,3,A,
355-U1456C-15H-4-A,0,40.0,110.3,110.7,,,nannofossil ooze,with silt,nannofossil ooze with silt,,burrows,light gray,GLEY 1 5/10Y (greenish gray),100,clay,1,clay,1,,,,,,,,,,,,,,,,100,erosive,wavy,sub-horizontal,thickly bedded,,,,,,,pyrite,,,,,,355,U1456,C,15,H,4,A,
355-U1456C-15H-4-A,40,61.0,110.7,110.91,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 6/10Y (greenish gray),80,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,dark gray,GLEY 1 4/10Y (dark greenish gray),20,silt,2,very fine sand,3,,100,gradational,gradational,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,15,H,4,A,
355-U1456C-15H-4-A,61,87.0,110.91,111.17,,nannofossil rich,silt,,nannofossil rich silt,,burrows,dark gray,GLEY 1 3/10Y (very dark greenish gray),80,silt,2,very fine sand,3,,nannofossil rich,clay,,nannofossil rich clay,nannofossil rich clay,clay,dark gray,GLEY 1 4/10Y (dark greenish gray),20,clay,1,clay,1,,100,erosive,sharp,horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,15,H,4,A,
355-U1456C-15H-4-A,87,101.0,111.17,111.31,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,15,H,4,A,
355-U1456C-15H-4-A,101,150.0,111.31,111.8,,,nannofossil ooze,,nannofossil ooze with clay,,burrows,dark gray,GLEY 1 3/10Y (very dark greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,15,H,4,A,
355-U1456C-15H-5-A,0,39.0,111.8,112.19,,nannofossil rich,clay,,nannofossil rich clay,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),60,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,dark gray,GLEY 1 3/10Y (very dark greenish gray),40,silt,2,very fine sand,3,,100,erosive,scoured,sub-horizontal,thickly bedded,,,,,,,pyrite,,,,,,355,U1456,C,15,H,5,A,
355-U1456C-15H-5-A,39,65.0,112.19,112.45,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),80,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,dark gray,GLEY 1 3/10Y (very dark greenish gray),20,silt,2,very fine sand,3,,100,erosive,scoured,sub-horizontal,medium bedded,,,,,,,pyrite,,,,,,355,U1456,C,15,H,5,A,
355-U1456C-15H-5-A,65,85.0,112.45,112.65,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 5/10Y (greenish gray),80,clay,1,clay,1,,nannofossil rich,silt,,nannofossil rich silt,nannofossil rich silt,silt,dark gray,GLEY 1 3/10Y (very dark greenish gray),20,silt,2,very fine sand,3,,100,erosive,wavy,sub-horizontal,medium bedded,,,,,,,pyrite,,,,,,355,U1456,C,15,H,5,A,
355-U1456C-15H-5-A,85,109.0,112.65,112.89,,,nannofossil ooze,with clay,nannofossil ooze with clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),60,clay,1,clay,1,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,light gray,GLEY 1 7/10Y (light greenish grey),40,clay,1,clay,1,,100,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,15,H,5,A,
355-U1456C-15H-5-A,109,125.0,112.89,113.05,,nannofossil rich,clay,,nannofossil rich clay,,burrows,dark gray,GLEY 1 3/10Y (very dark greenish gray),70,clay,1,clay,1,,nannofossil rich,sand,,nannofossil rich sand,nannofossil rich sand,sand,dark gray,GLEY 1 3/10Y (very dark greenish gray),30,very fine sand,3,fine sand,4,,100,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,15,H,5,A,
355-U1456C-15H-5-A,125,147.0,113.05,113.27,,,nannofossil ooze,,nannofossil ooze,,burrows,light gray,GLEY 1 5/10Y (greenish gray),80,clay,1,clay,1,,nannofossil rich,sand,,nannofossil rich sand,nannofossil rich sand,sand,dark gray,GLEY 1 3/10Y (very dark greenish gray),20,fine sand,4,medium sand,5,,100,,,,medium bedded,,,,,,,,,,,,,355,U1456,C,15,H,5,A,
355-U1456C-15H-6-A,0,9.0,113.27,113.36,,nannofossil rich,silt,,nannofossil rich silt,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,silt,2,very fine sand,3,,,,,,,,,,,,,,,,,gradational,gradational,sub-horizontal,thinly bedded,,,,,,,,,,,,,355,U1456,C,15,H,6,A,
355-U1456C-15H-6-A,9,29.0,113.36,113.56,,,nannofossil ooze,with clay,nannofossil ooze,,burrows,light gray,GLEY 1 5/10Y (greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,medium bedded,,,,,,,pyrite,,,,,,355,U1456,C,15,H,6,A,
355-U1456C-15H-6-A,29,65.0,113.56,113.92,,nannofossil rich,sand,,nannofossil rich sand,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,very fine sand,3,medium sand,5,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,C,15,H,6,A,
355-U1456C-15H-6-A,65,101.0,113.92,114.28,,nannofossil rich,clay,,nannofossil rich clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),70,clay,1,clay,1,,nannofossil rich,sand,,nannofossil rich sand,nannofossil rich sand,sand,dark gray,GLEY 1 3/10Y (very dark greenish gray),30,fine sand,4,medium sand,5,,100,erosive,scoured,sub-horizontal,thickly bedded,,,,,,,,,,,,,355,U1456,C,15,H,6,A,
355-U1456C-15H-6-A,101,142.0,114.28,114.69,,nannofossil rich,clay,,nannofossil rich clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),70,clay,1,clay,1,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,light gray,GLEY 1 5/10Y (greenish gray),30,clay,1,clay,1,,100,,,,thickly bedded,,,,,,,pyrite,,,,,,355,U1456,C,15,H,6,A,
355-U1456C-15H-7-A,0,9.0,114.69,114.78,,nannofossil rich,clay,,nannofossil rich clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,erosive,wavy,sub-horizontal,thinly bedded,,,,,,,,,,,,,355,U1456,C,15,H,7,A,
355-U1456C-15H-7-A,9,23.0,114.78,114.92,,nannofossil rich,silt,,nannofossil rich silt,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,silt,2,very fine sand,3,,,,,,,,,,,,,,,,,erosive,scoured,sub-horizontal,medium bedded,,,,,,,,,,,,,355,U1456,C,15,H,7,A,
355-U1456C-15H-7-A,23,59.0,114.92,115.28,,nannofossil rich,clay,,nannofossil rich clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),80,clay,1,clay,1,,,nannofossil ooze,,nannofossil ooze,nannofossil ooze,nannofossil ooze,light gray,GLEY 1 5/10Y (greenish gray),20,clay,1,clay,1,,100,,,,thickly bedded,,,,,,,,,,,,,355,U1456,C,15,H,7,A,
355-U1456C-15H-CC-A,0,3.0,115.28,115.31,,nannofossil rich,sand,,nannofossil rich sand,,,dark gray,GLEY 1 3/10Y (very dark greenish gray),,very fine sand,3,fine sand,4,,,,,,,,,,,,,,,,,erosive,sharp,horizontal,very thinly bedded,,,,,,,,,,,,,355,U1456,C,15,H,CC,A,
355-U1456C-15H-CC-A,3,21.0,115.31,115.49,,nannofossil rich,clay,,nannofossil rich clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),,clay,1,clay,1,,,,,,,,,,,,,,,,,,,,medium bedded,,,,,,,,,,,,,355,U1456,C,15,H,CC,A,
355-U1456C-16H,0,525.0,115.3,120.55,I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,16,H,,,
355-U1456C-16H,525,694.0,120.55,122.24,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,16,H,,,
355-U1456C-16H-1-A,0,112.0,115.3,116.42,,nannofossil rich,clay,with nannofossils,nannofossil rich clay,,burrows,dark gray,GLEY 1 3/10Y (very dark greenish gray),90,clay,1,clay,1,,,silt,,silt,silt,silt,dark gray,GLEY 1 3/10Y (very dark greenish gray),10,silt,2,silt,2,,100,erosive,sharp,horizontal,very thickly bedded,,,,,slight,2,,,,,,,355,U1456,C,16,H,1,A,
355-U1456C-16H-1-A,112,150.0,116.42,116.8,,nannofossil rich,clay,,nannofossil rich clay,,burrows,dark gray,GLEY 1 4/10Y (dark greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,thickly bedded,,,,,moderate,3,,,,,,,355,U1456,C,16,H,1,A,
355-U1456C-16H-2-A,0,66.0,116.8,117.46,,nannofossil rich,clay,,nannofossil rich clay,,Zoophycos,dark gray,GLEY 1 4/10Y (dark greenish gray),90,clay,1,clay,1,,,silt,,silt,silt,silt,dark gray,GLEY 1 3/10Y (very dark greenish gray),10,silt,2,silt,2,,100,planar,sharp,horizontal,thickly bedded,,,,,sparse,1,,,,,,,355,U1456,C,16,H,2,A,
355-U1456C-16H-2-A,66,100.0,117.46,117.8,,silty,nannofossil ooze,with clay,silty nannofossil ooze,,burrows,dark gray,GLEY 1 5/10Y (greenish gray),,clay,1,silt,2,,,,,,,,,,,,,,,,,,,,thickly bedded,,,,,moderate,3,,,,,,,355,U1456,C,16,H,2,A,
355-U1456C-16H-2-A,100,150.0,117.8,118.3,,,nannofossil ooze,with clay,nannofossil ooze with clay,,,dark gray,GLEY 1 5/10Y (greenish gray),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,355,U1456,C,16,H,2,A,
